id,age,gender,driving_exp_clean,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome
581500,3,0,30+,university,upper class,0.515812809602791,0.0,after 2015,1.0,1,12000.0,sedan,0,0,0,0.0
288785,2,0,20-29,high school,upper class,0.5561496317258147,1.0,after 2015,1.0,1,8000.0,sedan,1,0,1,0.0
585379,3,0,10-19,high school,upper class,0.5694637281652679,0.0,before 2015,1.0,1,8000.0,sedan,3,0,0,1.0
880485,0,0,0-9,high school,poverty,0.2493628096799179,0.0,before 2015,0.0,0,16000.0,sedan,0,0,0,0.0
69241,1,1,0-9,university,upper class,0.6588498265607253,1.0,before 2015,1.0,1,9000.0,sedan,0,0,0,1.0
24737,2,0,20-29,none,poverty,0.5194542755967739,0.0,before 2015,0.0,1,10000.0,sedan,6,1,1,0.0
703897,1,1,10-19,university,upper class,0.7748838698842198,1.0,before 2015,1.0,1,16000.0,sedan,2,1,0,1.0
701507,3,0,0-9,university,upper class,0.6595566695934808,1.0,before 2015,1.0,1,10000.0,sedan,0,0,0,0.0
429521,3,1,10-19,high school,upper class,0.515812809602791,1.0,before 2015,1.0,1,12000.0,sedan,3,1,3,0.0
683505,2,0,20-29,university,upper class,0.7464614409921647,1.0,before 2015,0.0,0,13000.0,sedan,1,0,0,0.0
810013,0,1,0-9,university,working class,0.4576486815858435,1.0,after 2015,0.0,0,14000.0,sports car,0,0,0,1.0
776319,0,0,0-9,high school,working class,0.4099796451032053,0.0,before 2015,0.0,0,13000.0,sedan,0,0,0,1.0
540085,2,1,20-29,none,working class,0.2826105779013921,0.0,before 2015,0.0,0,15000.0,sedan,2,0,0,0.0
771433,0,1,0-9,high school,poverty,0.2907925607872464,0.0,after 2015,1.0,1,10000.0,sedan,0,0,0,1.0
784235,2,0,20-29,high school,middle class,0.5250064061586571,1.0,before 2015,1.0,1,6000.0,sedan,4,1,0,0.0
482448,0,1,0-9,none,poverty,0.3864066185703315,0.0,before 2015,0.0,0,8000.0,sedan,0,0,0,1.0
999259,2,0,20-29,high school,poverty,0.515812809602791,0.0,before 2015,1.0,1,11000.0,sedan,0,0,1,0.0
898565,0,0,0-9,university,middle class,0.6091693713156574,1.0,before 2015,0.0,0,17000.0,sedan,0,0,0,0.0
352107,1,1,0-9,high school,poverty,0.3497900911696816,0.0,before 2015,0.0,1,10000.0,sedan,0,0,0,1.0
38960,0,1,0-9,high school,poverty,0.2971507114749279,1.0,before 2015,0.0,1,13000.0,sports car,0,0,0,1.0
961602,0,1,0-9,high school,poverty,0.2347600240130202,1.0,before 2015,0.0,1,11000.0,sedan,0,0,0,1.0
373235,1,1,10-19,high school,working class,0.4328709009130958,1.0,before 2015,0.0,0,13000.0,sedan,0,0,0,1.0
772803,2,1,0-9,high school,middle class,0.5214787704332866,1.0,after 2015,0.0,1,9000.0,sedan,0,0,0,1.0
420805,3,0,20-29,high school,upper class,0.515812809602791,1.0,before 2015,1.0,1,11697.003206900365,sedan,3,0,2,0.0
474830,3,1,30+,high school,upper class,0.515812809602791,1.0,after 2015,1.0,1,9000.0,sedan,5,2,4,0.0
461197,2,0,20-29,university,upper class,0.515812809602791,1.0,after 2015,1.0,1,12000.0,sedan,0,0,1,0.0
740592,1,1,10-19,high school,middle class,0.4441140482434208,1.0,before 2015,0.0,1,10000.0,sports car,2,0,0,0.0
62619,2,1,20-29,university,middle class,0.4692112924855094,1.0,before 2015,1.0,1,11697.003206900365,sedan,3,0,5,0.0
796132,1,1,10-19,high school,middle class,0.4449273621925888,1.0,before 2015,0.0,1,16000.0,sedan,1,1,0,0.0
488928,0,1,0-9,none,poverty,0.3491647332402468,0.0,before 2015,0.0,1,13000.0,sedan,0,0,0,1.0
282068,1,0,0-9,university,upper class,0.6314107090924993,1.0,after 2015,0.0,1,13000.0,sedan,0,0,0,0.0
493125,0,1,0-9,university,middle class,0.6690974134124453,1.0,before 2015,1.0,1,10000.0,sedan,0,0,0,1.0
792068,1,1,0-9,high school,upper class,0.6128967688651865,1.0,before 2015,1.0,1,9000.0,sedan,0,0,0,1.0
491993,2,1,10-19,university,working class,0.515812809602791,0.0,after 2015,0.0,1,11000.0,sedan,1,0,1,0.0
255141,0,1,0-9,none,poverty,0.3907628569968647,0.0,before 2015,0.0,0,13000.0,sports car,0,0,0,1.0
492082,2,1,20-29,university,upper class,0.457278601424131,1.0,after 2015,1.0,1,9000.0,sedan,5,2,2,0.0
966351,1,1,10-19,university,middle class,0.4117778046909311,1.0,after 2015,0.0,0,16000.0,sedan,0,1,1,0.0
120411,2,0,20-29,high school,working class,0.5221332912355521,1.0,before 2015,0.0,0,14000.0,sedan,0,2,0,0.0
743389,3,1,0-9,high school,upper class,0.5590653185128583,1.0,before 2015,1.0,1,11000.0,sedan,0,0,0,1.0
642689,1,1,10-19,none,middle class,0.4118137181793745,1.0,before 2015,1.0,1,9000.0,sedan,0,0,0,0.0
816454,2,0,10-19,high school,upper class,0.6776807976678804,1.0,before 2015,1.0,1,12000.0,sedan,1,0,1,0.0
676952,1,1,10-19,high school,middle class,0.5548795032659856,1.0,before 2015,1.0,1,12000.0,sedan,0,0,1,0.0
645283,0,0,0-9,none,poverty,0.3930304394075162,0.0,before 2015,0.0,0,16000.0,sedan,0,0,0,1.0
784462,3,1,30+,university,upper class,0.515812809602791,1.0,before 2015,1.0,1,10000.0,sedan,13,1,6,0.0
16946,0,0,0-9,high school,poverty,0.277929013275103,0.0,before 2015,0.0,0,17000.0,sedan,0,0,0,1.0
636096,1,0,10-19,none,upper class,0.7283059747612598,1.0,before 2015,0.0,1,7000.0,sedan,4,0,0,1.0
210810,1,0,10-19,none,working class,0.5123501239909536,1.0,before 2015,0.0,1,16000.0,sedan,1,0,0,0.0
671866,0,0,0-9,high school,poverty,0.515812809602791,0.0,before 2015,0.0,0,14000.0,sedan,0,0,0,1.0
849811,3,0,30+,high school,upper class,0.587831426389767,1.0,after 2015,1.0,0,11697.003206900365,sports car,3,0,1,0.0
472175,1,1,10-19,none,poverty,0.515812809602791,1.0,before 2015,0.0,1,13000.0,sedan,1,0,0,0.0
167440,0,0,0-9,none,poverty,0.3622944202387752,0.0,before 2015,0.0,1,11000.0,sedan,0,0,0,1.0
401739,1,0,10-19,none,working class,0.515812809602791,1.0,after 2015,0.0,0,11000.0,sedan,0,0,1,0.0
321859,1,0,10-19,university,working class,0.3566916562731372,0.0,after 2015,1.0,0,10000.0,sedan,1,0,2,0.0
688440,3,1,10-19,university,upper class,0.6936124267187082,1.0,before 2015,1.0,1,10000.0,sedan,2,0,0,0.0
907915,1,0,0-9,university,middle class,0.5799346731224745,1.0,before 2015,0.0,0,16000.0,sedan,0,0,0,1.0
419566,1,0,10-19,high school,working class,0.515812809602791,0.0,before 2015,0.0,0,12000.0,sedan,1,1,0,1.0
798010,1,1,10-19,university,upper class,0.515812809602791,1.0,after 2015,1.0,1,11000.0,sedan,2,0,1,0.0
118986,3,1,30+,university,upper class,0.6243246515669466,1.0,before 2015,1.0,1,10000.0,sedan,6,0,6,0.0
240196,1,0,10-19,high school,middle class,0.515812809602791,0.0,before 2015,1.0,1,10000.0,sedan,1,0,0,1.0
595172,3,0,30+,university,upper class,0.5652465474664438,1.0,before 2015,1.0,1,8000.0,sports car,4,1,5,0.0
452828,1,0,10-19,high school,upper class,0.6304263342185482,1.0,after 2015,1.0,1,11000.0,sedan,0,0,0,0.0
170305,1,0,10-19,university,upper class,0.6836425134907735,0.0,after 2015,0.0,1,8000.0,sedan,0,1,1,0.0
799435,1,0,0-9,university,poverty,0.3435164732655145,1.0,before 2015,0.0,0,17000.0,sedan,0,0,0,1.0
95244,1,1,10-19,high school,working class,0.6361092160766116,0.0,before 2015,1.0,0,15000.0,sedan,1,0,0,1.0
67486,1,1,10-19,high school,working class,0.515812809602791,0.0,after 2015,0.0,0,15000.0,sedan,1,0,0,0.0
856124,0,0,0-9,none,poverty,0.3852522850432081,0.0,before 2015,0.0,0,12000.0,sedan,0,0,0,1.0
812400,0,0,0-9,high school,working class,0.5952200613739393,1.0,before 2015,0.0,0,14000.0,sports car,0,0,0,1.0
906069,1,0,10-19,university,middle class,0.515812809602791,1.0,before 2015,1.0,1,16000.0,sedan,1,0,0,0.0
652400,1,0,10-19,high school,working class,0.515812809602791,1.0,before 2015,0.0,0,16000.0,sedan,0,0,0,0.0
327644,3,0,30+,university,upper class,0.5688685430675894,1.0,after 2015,1.0,1,10000.0,sedan,1,0,1,0.0
301854,1,1,10-19,high school,upper class,0.6612070554767343,1.0,after 2015,1.0,1,11697.003206900365,sedan,1,1,4,0.0
897682,0,0,0-9,high school,working class,0.3717009607507985,1.0,after 2015,0.0,1,11697.003206900365,sedan,0,0,0,0.0
74352,2,1,20-29,none,poverty,0.396508852675383,0.0,before 2015,1.0,1,10000.0,sedan,1,1,3,0.0
221933,3,0,30+,high school,middle class,0.4401670910148754,1.0,before 2015,0.0,0,15000.0,sedan,4,0,2,0.0
816809,2,0,0-9,university,middle class,0.6025768346318514,1.0,before 2015,1.0,1,14000.0,sedan,0,0,0,1.0
175117,2,0,20-29,university,upper class,0.4165222280131299,1.0,before 2015,0.0,1,12000.0,sedan,1,1,1,0.0
135257,2,0,20-29,high school,poverty,0.3401464550196585,1.0,before 2015,1.0,1,8000.0,sedan,1,0,0,0.0
228938,1,1,0-9,university,upper class,0.6104363791572813,1.0,before 2015,1.0,0,12000.0,sedan,0,0,0,1.0
726199,3,1,0-9,high school,upper class,0.5866453439244921,1.0,after 2015,0.0,1,7000.0,sedan,0,0,0,0.0
862250,1,1,10-19,none,working class,0.5073589954159113,1.0,after 2015,0.0,0,11000.0,sedan,0,0,3,0.0
94813,2,1,0-9,high school,middle class,0.5607989400617142,1.0,before 2015,1.0,1,13000.0,sedan,0,0,0,0.0
241658,1,0,10-19,high school,upper class,0.6609209294591889,0.0,before 2015,1.0,0,12000.0,sedan,0,0,0,0.0
53685,1,1,10-19,high school,working class,0.3381122329748914,1.0,before 2015,0.0,1,12000.0,sedan,0,0,1,0.0
262243,3,0,20-29,university,upper class,0.7676855180298198,1.0,before 2015,1.0,1,11000.0,sedan,2,0,2,0.0
709717,2,1,20-29,university,middle class,0.6212118300258381,0.0,before 2015,0.0,1,11697.003206900365,sedan,6,0,1,0.0
137899,3,1,30+,high school,upper class,0.5530831213013543,1.0,before 2015,1.0,1,10000.0,sedan,1,0,10,0.0
905984,3,0,30+,high school,upper class,0.6061070639429452,1.0,after 2015,0.0,1,12000.0,sedan,4,0,1,0.0
786837,1,1,10-19,high school,working class,0.3883915867099435,0.0,before 2015,1.0,0,10000.0,sedan,1,0,2,0.0
424319,1,0,10-19,university,working class,0.2820028291007944,0.0,before 2015,0.0,1,14000.0,sedan,2,1,0,0.0
885657,0,1,0-9,university,middle class,0.5991443379590633,0.0,before 2015,1.0,1,9000.0,sports car,0,0,0,1.0
480527,0,0,0-9,university,working class,0.2486315634229089,0.0,before 2015,0.0,0,11000.0,sedan,0,0,0,1.0
987779,3,0,30+,high school,upper class,0.4956615644496181,1.0,before 2015,1.0,1,11000.0,sedan,3,0,3,0.0
172677,2,1,10-19,high school,upper class,0.6805790358149334,1.0,before 2015,0.0,1,10000.0,sedan,1,1,3,0.0
551604,3,1,30+,university,upper class,0.6100062530166586,1.0,after 2015,1.0,1,13000.0,sedan,4,1,6,0.0
542236,1,1,10-19,none,working class,0.436944194154781,1.0,before 2015,0.0,0,12000.0,sedan,3,0,0,0.0
904219,1,0,10-19,high school,working class,0.3018784742305601,1.0,before 2015,0.0,0,8000.0,sedan,1,0,0,0.0
87128,2,1,20-29,high school,middle class,0.47473409858794,1.0,before 2015,1.0,1,7000.0,sedan,12,0,3,0.0
818433,0,1,0-9,university,working class,0.2350866512184662,1.0,after 2015,0.0,0,17000.0,sedan,0,0,0,0.0
742144,2,1,20-29,university,upper class,0.7439687621339224,1.0,after 2015,1.0,1,11000.0,sedan,3,0,1,0.0
871868,0,0,0-9,high school,working class,0.4439992458560763,1.0,before 2015,0.0,1,13000.0,sedan,0,0,0,1.0
566066,2,0,20-29,high school,upper class,0.6479272957531299,1.0,before 2015,0.0,1,12000.0,sedan,1,0,1,0.0
387154,2,1,10-19,high school,upper class,0.515812809602791,1.0,after 2015,1.0,1,9000.0,sports car,3,0,3,0.0
53655,0,1,0-9,none,poverty,0.2877497137309024,0.0,before 2015,0.0,0,17000.0,sedan,0,0,0,1.0
472577,1,1,10-19,none,working class,0.4458537521945647,0.0,before 2015,0.0,0,16000.0,sedan,1,0,0,0.0
648626,3,0,10-19,university,upper class,0.7068968853141855,1.0,before 2015,1.0,1,12000.0,sedan,1,0,1,0.0
792349,3,0,20-29,university,upper class,0.515812809602791,1.0,before 2015,1.0,1,7000.0,sedan,4,1,1,0.0
636203,0,1,0-9,university,working class,0.5101284382203101,1.0,after 2015,0.0,0,11697.003206900365,sedan,0,0,0,0.0
860910,0,0,0-9,high school,poverty,0.4422964763625578,0.0,before 2015,0.0,1,15000.0,sedan,0,0,0,1.0
269359,1,0,10-19,high school,upper class,0.515812809602791,1.0,after 2015,1.0,0,11697.003206900365,sedan,1,0,1,0.0
668517,2,0,20-29,high school,upper class,0.6127386693205992,1.0,before 2015,1.0,1,12000.0,sedan,1,0,0,0.0
979729,2,0,20-29,university,upper class,0.6140919403501407,1.0,before 2015,1.0,1,10000.0,sedan,3,0,2,0.0
222143,1,1,10-19,university,middle class,0.4429716029268183,1.0,after 2015,0.0,1,8000.0,sedan,7,0,2,0.0
403686,0,1,0-9,university,middle class,0.4965338738721264,1.0,before 2015,1.0,1,6000.0,sedan,0,0,0,0.0
6167,1,1,10-19,high school,upper class,0.5127623848904239,1.0,after 2015,1.0,1,7000.0,sports car,3,1,6,0.0
120172,3,0,20-29,university,upper class,0.6491782329537904,1.0,before 2015,0.0,1,15000.0,sedan,3,0,1,0.0
703526,2,1,0-9,university,upper class,0.699968933390543,1.0,after 2015,0.0,1,14000.0,sedan,0,0,0,0.0
347529,1,1,10-19,high school,poverty,0.426888913221868,0.0,before 2015,0.0,1,9000.0,sedan,4,0,0,0.0
563175,2,0,20-29,university,middle class,0.5000798154654826,1.0,before 2015,0.0,0,14000.0,sedan,1,1,2,0.0
740173,1,1,0-9,high school,poverty,0.1747592446844146,1.0,before 2015,0.0,0,14000.0,sedan,0,0,0,1.0
959813,1,1,10-19,high school,middle class,0.515812809602791,1.0,before 2015,0.0,0,9000.0,sedan,2,0,0,0.0
506705,1,0,10-19,high school,poverty,0.515812809602791,0.0,before 2015,0.0,0,9000.0,sports car,3,0,0,1.0
778159,1,1,10-19,university,middle class,0.515812809602791,0.0,after 2015,0.0,1,12000.0,sedan,1,0,2,0.0
118047,1,1,10-19,high school,middle class,0.3590967332338258,1.0,before 2015,1.0,0,12000.0,sedan,0,0,3,0.0
720043,2,1,10-19,high school,upper class,0.6725715083125458,0.0,before 2015,1.0,1,8000.0,sedan,4,0,0,1.0
513285,1,1,10-19,high school,working class,0.515812809602791,0.0,after 2015,0.0,0,14000.0,sedan,0,0,2,0.0
12406,1,1,0-9,high school,middle class,0.4983124241159539,0.0,before 2015,1.0,1,10000.0,sedan,0,0,0,1.0
512935,1,1,10-19,high school,middle class,0.5080698750595196,0.0,before 2015,0.0,1,10000.0,sedan,1,0,3,1.0
321318,3,1,0-9,university,upper class,0.5166673129274945,1.0,before 2015,0.0,1,14000.0,sedan,0,0,0,1.0
384446,2,1,20-29,university,upper class,0.6331028718806417,1.0,after 2015,1.0,1,10000.0,sedan,1,0,1,0.0
757438,0,1,0-9,high school,poverty,0.4376610934796095,0.0,before 2015,1.0,1,7000.0,sedan,0,0,0,1.0
459875,2,0,20-29,high school,middle class,0.6594679535465432,1.0,before 2015,0.0,1,12000.0,sedan,0,1,1,0.0
784502,1,0,10-19,none,poverty,0.1950515541346116,0.0,before 2015,0.0,1,11697.003206900365,sedan,0,0,1,1.0
359584,0,0,0-9,high school,poverty,0.4785171808870951,0.0,before 2015,0.0,0,11697.003206900365,sedan,0,0,0,1.0
130166,3,0,0-9,high school,upper class,0.7466558621357801,1.0,after 2015,0.0,0,11697.003206900365,sedan,0,0,0,0.0
716558,3,0,20-29,university,middle class,0.515812809602791,1.0,before 2015,1.0,1,8000.0,sports car,4,0,3,0.0
720877,3,0,10-19,university,upper class,0.6910164446960826,1.0,before 2015,1.0,1,12000.0,sports car,3,0,0,0.0
514639,1,1,0-9,high school,working class,0.411584472058809,0.0,before 2015,1.0,1,8000.0,sedan,0,0,0,1.0
882775,0,0,0-9,high school,working class,0.4237711447220497,1.0,after 2015,0.0,0,13000.0,sedan,0,0,0,1.0
941091,2,0,0-9,university,upper class,0.515812809602791,1.0,before 2015,1.0,1,8000.0,sedan,0,0,0,1.0
860511,2,0,20-29,high school,upper class,0.579613604777953,1.0,before 2015,1.0,1,8000.0,sedan,4,0,1,0.0
30313,2,1,10-19,high school,middle class,0.6218093450295321,1.0,before 2015,1.0,1,11000.0,sedan,1,0,0,0.0
477198,0,1,0-9,none,poverty,0.265255675128123,0.0,before 2015,0.0,0,14000.0,sedan,0,0,0,1.0
292609,3,0,10-19,university,upper class,0.6603027887946995,1.0,after 2015,1.0,1,14000.0,sedan,0,0,0,0.0
836212,2,1,20-29,high school,working class,0.4660439400287874,1.0,before 2015,1.0,1,13000.0,sedan,3,1,2,0.0
683612,0,1,0-9,high school,poverty,0.3989893200608582,0.0,before 2015,0.0,1,7000.0,sedan,0,0,0,1.0
912887,0,1,0-9,university,working class,0.4789652338452294,1.0,before 2015,0.0,1,13000.0,sedan,0,0,0,1.0
234005,2,1,20-29,high school,middle class,0.4260354940121165,0.0,before 2015,1.0,1,10000.0,sedan,4,0,1,0.0
668061,3,0,0-9,university,upper class,0.7403233056364579,1.0,after 2015,1.0,1,10000.0,sedan,0,0,0,0.0
641737,2,0,10-19,university,upper class,0.5797829400692501,1.0,after 2015,0.0,1,9000.0,sedan,1,0,0,0.0
436666,1,1,10-19,none,poverty,0.4394514155216835,0.0,after 2015,0.0,0,14000.0,sports car,0,0,0,1.0
908912,2,1,10-19,university,upper class,0.4731626917961498,0.0,after 2015,1.0,1,11000.0,sedan,2,0,1,1.0
483206,1,1,10-19,university,upper class,0.679193931828913,1.0,after 2015,1.0,1,7000.0,sedan,5,0,1,0.0
706731,3,0,0-9,university,upper class,0.5442840095847793,1.0,before 2015,1.0,1,11697.003206900365,sedan,0,0,0,1.0
364089,1,1,10-19,none,poverty,0.4220315334045105,1.0,before 2015,0.0,1,11000.0,sedan,1,0,0,0.0
802774,3,0,0-9,university,upper class,0.7455090188134991,1.0,before 2015,1.0,1,10000.0,sedan,0,0,0,0.0
54272,2,0,0-9,high school,upper class,0.6870544048107581,1.0,after 2015,0.0,1,13000.0,sedan,0,0,0,0.0
375365,0,1,0-9,none,poverty,0.2703606882102237,0.0,before 2015,0.0,1,13000.0,sedan,0,0,0,1.0
860951,1,1,10-19,high school,working class,0.4258439631405441,1.0,before 2015,0.0,0,14000.0,sedan,0,1,2,0.0
285141,1,0,10-19,high school,middle class,0.499490214856176,0.0,before 2015,0.0,0,14000.0,sedan,2,1,0,1.0
330071,2,0,0-9,high school,poverty,0.4847038948077335,1.0,before 2015,1.0,1,10000.0,sedan,0,0,0,1.0
34607,2,0,10-19,university,upper class,0.5571758435147541,1.0,before 2015,0.0,0,14000.0,sedan,1,0,0,0.0
980859,0,1,0-9,none,poverty,0.4530467617186671,1.0,after 2015,1.0,0,12000.0,sedan,0,0,0,0.0
825302,2,1,20-29,high school,middle class,0.5994201344209197,1.0,before 2015,0.0,1,14000.0,sedan,3,2,1,0.0
683370,3,1,20-29,university,upper class,0.7283465539759247,1.0,before 2015,1.0,1,11000.0,sedan,3,0,0,0.0
572994,2,1,20-29,university,upper class,0.6640650143948857,1.0,after 2015,1.0,1,11000.0,sedan,0,1,1,0.0
814024,0,0,0-9,high school,poverty,0.4123934015169594,1.0,before 2015,0.0,0,14000.0,sedan,0,0,0,1.0
569721,2,0,10-19,high school,middle class,0.515812809602791,1.0,before 2015,1.0,1,14000.0,sedan,0,0,1,0.0
672155,2,0,20-29,high school,middle class,0.5373908568000239,0.0,before 2015,0.0,1,10000.0,sedan,3,0,2,0.0
951842,2,1,20-29,university,upper class,0.4563708821483924,1.0,before 2015,0.0,0,8000.0,sedan,8,1,0,0.0
475210,0,1,0-9,none,poverty,0.3190279628767566,0.0,before 2015,0.0,1,11697.003206900365,sedan,0,0,0,1.0
566124,2,1,10-19,university,upper class,0.4857316650856686,1.0,before 2015,1.0,1,9000.0,sedan,1,1,2,0.0
920333,1,1,10-19,university,working class,0.3680351400567729,0.0,before 2015,1.0,0,11697.003206900365,sedan,0,0,0,1.0
34367,0,0,0-9,none,poverty,0.3577661962837313,0.0,before 2015,0.0,0,12000.0,sedan,0,0,0,1.0
144973,3,0,0-9,high school,upper class,0.4929263167585091,1.0,after 2015,1.0,1,11000.0,sedan,0,0,0,0.0
692471,2,0,10-19,none,poverty,0.3675225984431894,0.0,before 2015,1.0,1,7000.0,sedan,1,0,0,0.0
346059,1,1,10-19,university,middle class,0.6073963264420993,1.0,before 2015,1.0,0,13000.0,sedan,1,0,1,1.0
772578,1,0,10-19,high school,middle class,0.5267589722950471,1.0,before 2015,1.0,0,10000.0,sedan,1,1,0,0.0
446717,3,1,30+,high school,upper class,0.5937567451172041,1.0,before 2015,1.0,1,10000.0,sedan,2,1,4,0.0
851152,1,0,10-19,none,working class,0.515812809602791,0.0,before 2015,1.0,1,11697.003206900365,sedan,0,0,1,0.0
614666,2,0,20-29,university,upper class,0.6476691481025054,1.0,after 2015,0.0,1,10000.0,sedan,3,0,2,0.0
665405,0,0,0-9,high school,poverty,0.515812809602791,0.0,before 2015,0.0,1,13000.0,sedan,0,0,0,1.0
515041,3,1,10-19,university,upper class,0.5934258727117244,1.0,after 2015,0.0,1,13000.0,sedan,4,1,2,0.0
826670,2,0,0-9,university,upper class,0.6901480984334583,1.0,before 2015,1.0,1,7000.0,sedan,0,0,0,0.0
62325,3,1,20-29,none,upper class,0.5905495956804206,0.0,after 2015,1.0,1,12000.0,sedan,4,0,2,1.0
865814,2,1,0-9,high school,upper class,0.6287676720732993,1.0,after 2015,0.0,1,17000.0,sedan,0,0,0,0.0
417103,1,0,0-9,none,working class,0.3322173325159018,0.0,before 2015,1.0,1,13000.0,sedan,0,0,0,0.0
235390,3,0,30+,university,upper class,0.6958419935317093,1.0,before 2015,1.0,1,11000.0,sedan,7,1,0,0.0
663153,1,1,0-9,university,working class,0.4819127059705207,0.0,after 2015,0.0,1,10000.0,sedan,0,0,0,1.0
224530,0,0,0-9,none,poverty,0.3550800529957848,1.0,before 2015,0.0,1,12000.0,sedan,0,0,0,0.0
742122,2,1,10-19,university,upper class,0.5224994188821985,1.0,after 2015,0.0,0,16000.0,sedan,0,0,0,1.0
821534,2,1,10-19,none,poverty,0.408216868683217,1.0,before 2015,0.0,1,14000.0,sedan,1,0,0,0.0
898864,1,0,10-19,high school,middle class,0.5686069035052954,1.0,before 2015,1.0,1,9000.0,sports car,1,0,2,0.0
827537,1,0,0-9,none,working class,0.5496517545256305,0.0,before 2015,0.0,1,12000.0,sedan,0,0,0,1.0
577761,2,1,20-29,high school,upper class,0.5255285623050104,1.0,after 2015,1.0,1,8000.0,sedan,7,0,2,0.0
343615,3,1,30+,university,upper class,0.5358338644512006,1.0,before 2015,1.0,1,9000.0,sedan,11,1,4,0.0
82684,1,1,10-19,university,upper class,0.5744144216758436,1.0,before 2015,0.0,0,11697.003206900365,sedan,2,0,5,1.0
980884,3,0,10-19,university,upper class,0.4463844946941819,1.0,before 2015,0.0,1,8000.0,sedan,1,0,3,0.0
670671,2,0,10-19,university,middle class,0.5273961990140225,1.0,after 2015,0.0,1,9000.0,sedan,0,0,1,0.0
331819,3,0,10-19,university,upper class,0.615268901119859,1.0,before 2015,1.0,1,10000.0,sedan,1,1,0,0.0
305620,2,1,10-19,university,upper class,0.4858537578944799,1.0,before 2015,1.0,1,8000.0,sedan,1,0,2,0.0
702473,1,1,10-19,university,upper class,0.5230480012727448,1.0,before 2015,1.0,1,7000.0,sedan,4,0,0,0.0
691719,1,1,10-19,high school,working class,0.3854878161761313,0.0,before 2015,1.0,1,10000.0,sedan,1,0,0,1.0
649724,1,0,10-19,university,upper class,0.4856337045192767,1.0,after 2015,0.0,0,11000.0,sedan,1,0,1,0.0
789098,1,0,10-19,high school,working class,0.360775239400342,0.0,before 2015,0.0,0,14000.0,sedan,1,0,0,0.0
